SplitID,Threads,VDD,TechType,Channel_UCS,SelectiveGate,Type,Xucs_Crystal,Zucs_Crystal,Sl_GPa,Sw_GPa,Sh_GPa,GeMoleCh,GeMoleSD,Nstop,Nsde,Nch,Tiox,Thfo2,Tspacer,W,H,Lg,Temperature,SiOCN_perm,iOxide_perm,HfO2_perm,WF_init,deltaVGATE,semi_name,vert_semi,horiz_semi,ox,WF,dg_coeff,peak_posX,peak_posY,TargetPoints,Parent_Path,rect_mesh_node,DG_target_node,DG_error,Ninv_error,vert_semi_opt,horiz_semi_opt,ox_opt,WF_opt,dosFin,dosStop,mnFin,mnStop,alpha1_Fin,alpha2_Fin,alpha3_Fin,alpha1_Stop,alpha2_Stop,alpha3_Stop,TotalMCsimTime,IDLIN_MC_uA,IDSAT_MC_uA,IOFF_MC_nA,VTL_MC_mV,VTS_MC_mV,SSlin_MC_mVdec,SSsat_MC_mVdec,genopt_RMSDCost,NinvOn_error
Temperature,4,0.65,BulkFinFET,z,0,pMOS,0:0:1,1:1:0,-0.9,0,0,0.30,0.30,3e18,3.0e20,0,0.9,1.5,7.5,5.0,50.0,18.0,-40,4.5,5.8,20.0,4.778,-0.05,SiliconGermanium,0.37147178819015791,0.31789980873036111,0.41735119442161256,4.7567026755828055,0.5,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,0.262514780239,0.143390388461,x,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.21151219036609561,
Temperature,4,0.65,BulkFinFET,z,0,pMOS,0:0:1,1:1:0,-0.9,0,0,0.30,0.30,3e18,3.0e20,0,0.9,1.5,7.5,5.0,50.0,18.0,-40,4.5,5.8,20.0,4.778,-0.05,SiliconGermanium,0.37147178819015791,0.31789980873036111,0.41735119442161256,4.7577026755828058,0.5,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,0.265387317891,0.132586802856,x,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.20977331668846078,
Temperature,4,0.65,BulkFinFET,z,0,pMOS,0:0:1,1:1:0,-0.9,0,0,0.30,0.30,3e18,3.0e20,0,0.9,1.5,7.5,5.0,50.0,18.0,-40,4.5,5.8,20.0,4.778,-0.05,SiliconGermanium,0.37147178819015791,0.31789980873036111,0.41831328828685016,4.7567026755828055,0.5,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,0.262778875128,0.143361125306,x,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.21166618702870291,
Temperature,4,0.65,BulkFinFET,z,0,pMOS,0:0:1,1:1:0,-0.9,0,0,0.30,0.30,3e18,3.0e20,0,0.9,1.5,7.5,5.0,50.0,18.0,-40,4.5,5.8,20.0,4.778,-0.05,SiliconGermanium,0.37147178819015791,0.31863264347440334,0.41735119442161256,4.7567026755828055,0.5,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,0.262778921775,0.143112547581,x,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.21158209163863037,
Temperature,4,0.65,BulkFinFET,z,0,pMOS,0:0:1,1:1:0,-0.9,0,0,0.30,0.30,3e18,3.0e20,0,0.9,1.5,7.5,5.0,50.0,18.0,-40,4.5,5.8,20.0,4.778,-0.05,SiliconGermanium,0.37232811910115937,0.31789980873036111,0.41735119442161256,4.7567026755828055,0.5,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,0.262829979628,0.143390388461,x,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.2117078195228643,
Temperature,4,0.65,BulkFinFET,z,0,pMOS,0:0:1,1:1:0,-0.9,0,0,0.30,0.30,3e18,3.0e20,0,0.9,1.5,7.5,5.0,50.0,18.0,-40,4.5,5.8,20.0,4.778,-0.05,SiliconGermanium,0.33109023759768214,0.26755242354353626,0.38896636844996779,4.7604647654875523,0.5,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,0.234569724383,0.127441284091,x,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.18876471662876984,
Temperature,4,0.65,BulkFinFET,z,0,pMOS,0:0:1,1:1:0,-0.9,0,0,0.30,0.30,3e18,3.0e20,0,0.9,1.5,7.5,5.0,50.0,18.0,-40,4.5,5.8,20.0,4.778,-0.05,SiliconGermanium,0.33109023759768214,0.26755242354353626,0.38896636844996779,4.7614647654875526,0.5,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,0.237241805823,0.116646666142,x,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.18693597721171981,
Temperature,4,0.65,BulkFinFET,z,0,pMOS,0:0:1,1:1:0,-0.9,0,0,0.30,0.30,3e18,3.0e20,0,0.9,1.5,7.5,5.0,50.0,18.0,-40,4.5,5.8,20.0,4.778,-0.05,SiliconGermanium,0.33109023759768214,0.26755242354353626,0.38986302853354105,4.7604647654875523,0.5,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,0.234832112627,0.127400498884,x,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.18891401249874518,
Temperature,4,0.65,BulkFinFET,z,0,pMOS,0:0:1,1:1:0,-0.9,0,0,0.30,0.30,3e18,3.0e20,0,0.9,1.5,7.5,5.0,50.0,18.0,-40,4.5,5.8,20.0,4.778,-0.05,SiliconGermanium,0.33109023759768214,0.26816919557812313,0.38896636844996779,4.7604647654875523,0.5,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,0.234718823844,0.127115216721,x,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.18874745639178492,
Temperature,4,0.65,BulkFinFET,z,0,pMOS,0:0:1,1:1:0,-0.9,0,0,0.30,0.30,3e18,3.0e20,0,0.9,1.5,7.5,5.0,50.0,18.0,-40,4.5,5.8,20.0,4.778,-0.05,SiliconGermanium,0.33185347942061316,0.26755242354353626,0.38896636844996779,4.7604647654875523,0.5,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,0.234848506084,0.127441284091,x,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.18893795502842933,
