SplitID,Threads,VDD,TechType,Channel_UCS,SelectiveGate,Type,Xucs_Crystal,Zucs_Crystal,Sl_GPa,Sw_GPa,Sh_GPa,GeMoleCh,GeMoleSD,Nstop,Nsde,Nch,Tiox,Thfo2,Tspacer,W,H,Lg,Temperature,SiOCN_perm,iOxide_perm,HfO2_perm,WF_init,deltaVGATE,semi_name,vert_semi,horiz_semi,ox,WF,dg_coeff,Vd,Vg,peak_posX,peak_posY,TargetPoints,Parent_Path,rect_mesh_node,DG_target_node,DG_error,Ninv_error,vert_semi_opt,horiz_semi_opt,ox_opt,WF_opt,dosFin,dosStop,mnFin,mnStop,alpha1_Fin,alpha2_Fin,alpha3_Fin,alpha1_Stop,alpha2_Stop,alpha3_Stop,TotalMCsimTime,IDLIN_MC_uA,IDSAT_MC_uA,IOFF_MC_nA,VTL_MC_mV,VTS_MC_mV,SSlin_MC_mVdec,SSsat_MC_mVdec,genopt_RMSDCost,NinvOn_error,deltaVt_Target_V,WF_gmc_Ioff
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,57  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,155h_58m_51s,16.5,x,x,-87.8,x,99.7,x,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,57  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,56  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,60  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,57  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,56  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,57  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,57  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,57  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,56  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
